"Timestamp","Question 1701","Question 1702","Question 1703","Question 1704","Question 1705","Question 1706","Question 1707","Question 1708","Question 1709","Question 1710","Question 1711","Question 1712","Question 1713","Question 1714","Question 1715","Question 1716","Question 1717","Question 1718","Question 1719","Question 1720","Question 1721","Question 1722","Question 1723","Question 1724","Question 1725","Question 1726","Question 1727","Question 1728","Question 1729","Question 1730","Question 1731","Question 1732","Question 1733","Question 1734","Question 1735","Question 1736","Question 1737","Question 1738","Question 1739","Question 1740","Question 1741","Question 1742","Question 1743","Question 1744","Question 1745","Question 1746","Question 1747","Question 1748","Question 1749","Question 1750","Question 1751","Question 1752","Question 1753","Question 1754","Question 1755","Question 1756","Question 1757","Question 1758","Question 1759","Question 1760","Question 1761","Question 1762","Question 1763","Question 1764","Question 1765","Question 1766","Question 1767","Question 1768","Question 1769","Question 1770","Question 1771","Question 1772","Question 1773","Question 1774","Question 1775","Question 1776","Question 1777","Question 1778","Question 1779","Question 1780","Question 1781","Question 1782","Question 1783","Question 1784","Question 1785","Question 1786","Question 1787","Question 1788","Question 1789","Question 1790","Question 1791","Question 1792","Question 1793","Question 1794","Question 1795","Question 1796","Question 1797","Question 1798","Question 1799","Question 1800"
"2018/03/27 11:37:34 PM MDT","Ice Age","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Ice Age","Ice Age","Ice Age","Ice Age","Ice Age","Ice Age","Cars","Ice Age","Ice Age","Shrek 2","The Pokemon Movie","Rise of the Guardians","Cinderella","Happy Feet","Happy Feet","Hotel Transylvania","Happy Feet","Happy Feet","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Happy Feet","Happy Feet","Happy Feet","Kung Fu Panda 3","Monsters University","Horton Hears A Who","Cars","Happy Feet","Bee Movie","Shrek 2","The Pokemon Movie","Cinderella","Rise of the Guardians","Rise of the Guardians","Hotel Transylvania","Rise of the Guardians","Rise of the Guardians","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Rise of the Guardians","Rise of the Guardians","Kung Fu Panda 3","Monsters University","Horton Hears A Who","Cars","Rise of the Guardians","Rise of the Guardians","Shrek 2","The Pokemon Movie","Cinderella","Cinderella","Hotel Transylvania","Cinderella","Cinderella","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Cinderella","Cinderella","Cinderella","Monsters University","Horton Hears A Who","Cars","Cinderella","Bee Movie","Shrek 2","The Pokemon Movie","Despicable Me 3","Hotel Transylvania","Despicable Me 3","Despicable Me 3","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Despicable Me 3","Despicable Me 3","Kung Fu Panda 3","Monsters University"
"2018/03/28 1:39:11 AM MDT","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Bolt","Peanuts Movie","Kung Fu Panda 3","Monsters University","Horton Hears A Who","Cars","Ice Age","Bee Movie","Ice Age","The Pokemon Movie","Happy Feet","Cinderella","Despicable Me 3","Polar Express","Hotel Transylvania","Happy Feet","Tom and Jerry","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Bolt","Peanuts Movie","Kung Fu Panda 3","Monsters University","Horton Hears A Who","Cars","The Lorax","Bee Movie","Happy Feet","The Pokemon Movie","Cinderella","Despicable Me 3","Polar Express","Hotel Transylvania","Rise of the Guardians","Tom and Jerry","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Bolt","Peanuts Movie","Kung Fu Panda 3","Monsters University","Horton Hears A Who","Cars","Rise of the Guardians","Bee Movie","Rise of the Guardians","The Pokemon Movie","Cinderella","Polar Express","Hotel Transylvania","Cinderella","Cinderella","Cinderella","Inside Out","Monsters Inc.","Cinderella","Aladdin","How to Train Your Dragon 2","Cinderella","Cinderella","Cinderella","Cinderella","Cinderella","Cinderella","Cars","Cinderella","Cinderella","Cinderella","Cinderella","Polar Express","Hotel Transylvania","Despicable Me 3","Tom and Jerry","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Bolt","Peanuts Movie","Kung Fu Panda 3","Despicable Me 3"
"2018/03/29 2:02:56 AM MDT","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Bolt","Peanuts Movie","Kung Fu Panda 3","Monsters University","Horton Hears A Who","Ice Age","Ice Age","Bee Movie","Shrek 2","Ice Age","Happy Feet","Happy Feet","Happy Feet","Happy Feet","Happy Feet","Happy Feet","Happy Feet","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Happy Feet","Peanuts Movie","Kung Fu Panda 3","Happy Feet","Happy Feet","Happy Feet","Happy Feet","Happy Feet","Shrek 2","Happy Feet","Cinderella","Despicable Me 3","Polar Express","Rise of the Guardians","Rise of the Guardians","Tom and Jerry","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Rise of the Guardians","Peanuts Movie","Kung Fu Panda 3","Monsters University","Horton Hears A Who","Rise of the Guardians","Rise of the Guardians","Bee Movie","Shrek 2","Rise of the Guardians","Cinderella","Cinderella","Cinderella","Cinderella","Tom and Jerry","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Bolt","Peanuts Movie","Kung Fu Panda 3","Monsters University","Horton Hears A Who","Cinderella","Cinderella","Bee Movie","Shrek 2","Cinderella","Despicable Me 3","Despicable Me 3","Despicable Me 3","Tom and Jerry","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Despicable Me 3","Peanuts Movie","Kung Fu Panda 3","Monsters University"
