"Timestamp","Question 801","Question 802","Question 803","Question 804","Question 805","Question 806","Question 807","Question 808","Question 809","Question 810","Question 811","Question 812","Question 813","Question 814","Question 815","Question 816","Question 817","Question 818","Question 819","Question 820","Question 821","Question 822","Question 823","Question 824","Question 825","Question 826","Question 827","Question 828","Question 829","Question 830","Question 831","Question 832","Question 833","Question 834","Question 835","Question 836","Question 837","Question 838","Question 839","Question 840","Question 841","Question 842","Question 843","Question 844","Question 845","Question 846","Question 847","Question 848","Question 849","Question 850","Question 851","Question 852","Question 853","Question 854","Question 855","Question 856","Question 857","Question 858","Question 859","Question 860","Question 861","Question 862","Question 863","Question 864","Question 865","Question 866","Question 867","Question 868","Question 869","Question 870","Question 871","Question 872","Question 873","Question 874","Question 875","Question 876","Question 877","Question 878","Question 879","Question 880","Question 881","Question 882","Question 883","Question 884","Question 885","Question 886","Question 887","Question 888","Question 889","Question 890","Question 891","Question 892","Question 893","Question 894","Question 895","Question 896","Question 897","Question 898","Question 899","Question 900"
"2018/03/27 11:12:41 PM MDT","Ratatouille","Ratatouille","Ratatouille","Ratatouille","How the Grinch Stole Christmas","Up","Ratatouille","The Lego Movie","Ratatouille","Ratatouille","Ratatouille","Kung Fu Panda","Jungle Book","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Toy Story 3","Ratatouille","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Shrek 2","The Pokemon Movie","The Little Mermaid","Frozen","Big Hero 6","Wreck-It Ralph","Mulan","Kung Fu Panda 2","Moana","Brave","Moana","Moana","Moana","Moana","How the Grinch Stole Christmas","Up","Moana","Moana","Moana","Moana","Moana","Kung Fu Panda","Jungle Book","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Toy Story 3","Moana","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Shrek 2","The Pokemon Movie","Frozen","Big Hero 6","Wreck-It Ralph","Mulan","Kung Fu Panda 2","The Little Mermaid","Brave","The Little Mermaid","The Little Mermaid","The Little Mermaid","The Little Mermaid","How the Grinch Stole Christmas"
"2018/03/28 12:37:10 AM MDT","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Up","Coco","Ratatouille","Ratatouille","The Lady and the Tramp","Ratatouille","Ratatouille","Jungle Book","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Aladdin","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Up","Coco","Moana","Moana","The Lady and the Tramp","Tangled","Moana","Jungle Book","Moana","Moana","Moana","Moana","Cinderella","Moana","Polar Express","Hotel Transylvania","Moana","Moana","Moana","Moana","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Moana","Moana","Peanuts Movie","Moana","Moana","Moana","Cars","Moana","Moana","Moana","The Pokemon Movie","Frozen","The Little Mermaid","The Little Mermaid","Mulan","The Little Mermaid","Phineas and Ferb The Movie","Brave","The Little Mermaid","The Little Mermaid","The Little Mermaid","The Little Mermaid","How the Grinch Stole Christmas"
"2018/03/29 1:08:48 AM MDT","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Up","Ratatouille","The Lego Movie","Ratatouille","Ratatouille","Ratatouille","Kung Fu Panda","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Inside Out","Ratatouille","Ratatouille","Ratatouille","How to Train Your Dragon 2","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Shrek 2","Ratatouille","Moana","Moana","Moana","Moana","Moana","Kung Fu Panda 2","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Up","Coco","The Lego Movie","Moana","Moana","Moana","Kung Fu Panda","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Moana","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Moana","How to Train Your Dragon 2","Lego Batman","Moana","Peanuts Movie","Moana","Moana","Moana","Moana","Moana","Moana","Shrek 2","Moana","Frozen","Big Hero 6","Wreck-It Ralph","The Little Mermaid","Kung Fu Panda 2","The Little Mermaid","The Little Mermaid","The Little Mermaid","The Little Mermaid","The Little Mermaid","Madagascar: Escape 2 Africa","How the Grinch Stole Christmas"
