"Timestamp","Question 501","Question 502","Question 503","Question 504","Question 505","Question 506","Question 507","Question 508","Question 509","Question 510","Question 511","Question 512","Question 513","Question 514","Question 515","Question 516","Question 517","Question 518","Question 519","Question 520","Question 521","Question 522","Question 523","Question 524","Question 525","Question 526","Question 527","Question 528","Question 529","Question 530","Question 531","Question 532","Question 533","Question 534","Question 535","Question 536","Question 537","Question 538","Question 539","Question 540","Question 541","Question 542","Question 543","Question 544","Question 545","Question 546","Question 547","Question 548","Question 549","Question 550","Question 551","Question 552","Question 553","Question 554","Question 555","Question 556","Question 557","Question 558","Question 559","Question 560","Question 561","Question 562","Question 563","Question 564","Question 565","Question 566","Question 567","Question 568","Question 569","Question 570","Question 571","Question 572","Question 573","Question 574","Question 575","Question 576","Question 577","Question 578","Question 579","Question 580","Question 581","Question 582","Question 583","Question 584","Question 585","Question 586","Question 587","Question 588","Question 589","Question 590","Question 591","Question 592","Question 593","Question 594","Question 595","Question 596","Question 597","Question 598","Question 599","Question 600"
"2018/03/27 11:04:12 PM MDT","Lilo & Stitch","Lilo & Stitch","Kung Fu Panda","Jungle Book","Lilo & Stitch","Ice Age","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Shrek 2","The Pokemon Movie","The Lion King","Despicable Me","Toy Story 2","How to Train Your Dragon","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Big Hero 6","Wreck-It Ralph","Despicable Me","Kung Fu Panda 2","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","How the Grinch Stole Christmas","Up","Despicable Me","The Lego Movie","Despicable Me","Despicable Me","Despicable Me","Kung Fu Panda","Jungle Book","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Toy Story 3","Despicable Me","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Shrek 2","The Pokemon Movie","The Lion King","The Lion King","How to Train Your Dragon","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King"
"2018/03/28 12:19:20 AM MDT","The Lady and the Tramp","Tangled","Kung Fu Panda","Jungle Book","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Cinderella","Lilo & Stitch","Polar Express","Hotel Transylvania","Lilo & Stitch","Tom and Jerry","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Bolt","Peanuts Movie","Kung Fu Panda 3","Lilo & Stitch","Horton Hears A Who","Cars","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","The Pokemon Movie","The Lion King","Madagascar","Toy Story 2","How to Train Your Dragon","Ratatouille","Moana","The Little Mermaid","Frozen","Despicable Me","Despicable Me","Mulan","Despicable Me","Phineas and Ferb The Movie","Brave","Despicable Me","Penguins of Madagascar","Meet the Robinsons","Despicable Me","How the Grinch Stole Christmas","Up","Coco","Despicable Me","Beauty and the Beast","The Lady and the Tramp","Tangled","Kung Fu Panda","Jungle Book","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Cinderella","Despicable Me 3","Polar Express","Hotel Transylvania","Chicken Little","Tom and Jerry","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Bolt","Despicable Me","Kung Fu Panda 3","Despicable Me","Horton Hears A Who","Cars","Despicable Me","Bee Movie","Despicable Me","The Pokemon Movie","The Lion King","The Lion King","The Lion King","Ratatouille","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King"
"2018/03/29 12:45:12 AM MDT","Lilo & Stitch","Lilo & Stitch","Kung Fu Panda","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Lilo & Stitch","How to Train Your Dragon 2","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Lilo & Stitch","Shrek 2","Lilo & Stitch","The Lion King","Madagascar","Toy Story 2","How to Train Your Dragon","Ratatouille","Despicable Me","Despicable Me","Despicable Me","Big Hero 6","Wreck-It Ralph","Despicable Me","Kung Fu Panda 2","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Madagascar: Escape 2 Africa","Despicable Me","Up","Coco","The Lego Movie","Beauty and the Beast","Despicable Me","Despicable Me","Kung Fu Panda","Jungle Book","Madagascar 3: Europe's Most Wanted","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Tom and Jerry","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Despicable Me","How to Train Your Dragon 2","Lego Batman","Despicable Me","Peanuts Movie","Kung Fu Panda 3","Despicable Me","Despicable Me","Despicable Me","Despicable Me","Bee Movie","Shrek 2","Despicable Me","The Lion King","Toy Story 2","How to Train Your Dragon","Ratatouille","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","The Lion King","Kung Fu Panda 2","The Lion King","The Lion King","The Lion King","The Lion King"
