"Timestamp","Question 1001","Question 1002","Question 1003","Question 1004","Question 1005","Question 1006","Question 1007","Question 1008","Question 1009","Question 1010","Question 1011","Question 1012","Question 1013","Question 1014","Question 1015","Question 1016","Question 1017","Question 1018","Question 1019","Question 1020","Question 1021","Question 1022","Question 1023","Question 1024","Question 1025","Question 1026","Question 1027","Question 1028","Question 1029","Question 1030","Question 1031","Question 1032","Question 1033","Question 1034","Question 1035","Question 1036","Question 1037","Question 1038","Question 1039","Question 1040","Question 1041","Question 1042","Question 1043","Question 1044","Question 1045","Question 1046","Question 1047","Question 1048","Question 1049","Question 1050","Question 1051","Question 1052","Question 1053","Question 1054","Question 1055","Question 1056","Question 1057","Question 1058","Question 1059","Question 1060","Question 1061","Question 1062","Question 1063","Question 1064","Question 1065","Question 1066","Question 1067","Question 1068","Question 1069","Question 1070","Question 1071","Question 1072","Question 1073","Question 1074","Question 1075","Question 1076","Question 1077","Question 1078","Question 1079","Question 1080","Question 1081","Question 1082","Question 1083","Question 1084","Question 1085","Question 1086","Question 1087","Question 1088","Question 1089","Question 1090","Question 1091","Question 1092","Question 1093","Question 1094","Question 1095","Question 1096","Question 1097","Question 1098","Question 1099","Question 1100"
"2018/03/27 11:21:04 PM MDT","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","The Iron Giant","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Up","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Kung Fu Panda","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Shrek 2","The Pokemon Movie","Mulan","Mulan","Mulan","Mulan","Mulan","Mulan","Mulan","How the Grinch Stole Christmas","Up","Mulan","The Lego Movie","Mulan","Mulan","Mulan","Kung Fu Panda","Jungle Book","Mulan","Mulan","Mulan","Mulan","Mulan","Mulan","Mulan","Mulan","Mulan","Mulan","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant"
"2018/03/28 12:12:32 AM MDT","Ice Age","Big Hero 6","Big Hero 6","Cinderella","Despicable Me 3","Polar Express","Hotel Transylvania","Big Hero 6","Tom and Jerry","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Lego Batman","Bolt","Peanuts Movie","Big Hero 6","Big Hero 6","Horton Hears A Who","Cars","The Lorax","Bee Movie","Big Hero 6","The Pokemon Movie","Mulan","Kung Fu Panda 2","Phineas and Ferb The Movie","Brave","Despicable Me 2","Penguins of Madagascar","Meet the Robinsons","Wreck-It Ralph","How the Grinch Stole Christmas","Up","Coco","The Lego Movie","Beauty and the Beast","The Lady and the Tramp","Tangled","Kung Fu Panda","Jungle Book","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Rise of the Guardians","Cinderella","Despicable Me 3","Polar Express","Hotel Transylvania","Chicken Little","Tom and Jerry","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Wreck-It Ralph","Bolt","Peanuts Movie","Kung Fu Panda 3","Wreck-It Ralph","Horton Hears A Who","Cars","Wreck-It Ralph","Bee Movie","Shrek 2","The Pokemon Movie","Mulan","Phineas and Ferb The Movie","Mulan","Mulan","Mulan","Mulan","Mulan","Mulan","Up","Coco","Mulan","Beauty and the Beast","The Lady and the Tramp","Mulan","Mulan","Jungle Book","Mulan","Mulan","Mulan","Mulan","Cinderella","Mulan","Polar Express","Hotel Transylvania","Mulan","Mulan","Mulan","Mulan","Mulan","Mulan"
"2018/03/29 1:18:04 AM MDT","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Big Hero 6","How to Train Your Dragon 2","Lego Batman","Big Hero 6","Peanuts Movie","Kung Fu Panda 3","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Big Hero 6","Shrek 2","Big Hero 6","Wreck-It Ralph","Kung Fu Panda 2","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Up","Coco","The Lego Movie","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Kung Fu Panda","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Wreck-It Ralph","How to Train Your Dragon 2","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Wreck-It Ralph","Shrek 2","Wreck-It Ralph","Kung Fu Panda 2","Mulan","Brave","Mulan","Mulan","Mulan","Mulan","Mulan","Up","Coco","The Lego Movie","Beauty and the Beast","The Lady and the Tramp","Mulan","Kung Fu Panda","Jungle Book","Mulan","Mulan","Mulan","Mulan","Mulan","Mulan","Mulan","Mulan","Mulan","Tom and Jerry","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant"
