"Timestamp","Question 1401","Question 1402","Question 1403","Question 1404","Question 1405","Question 1406","Question 1407","Question 1408","Question 1409","Question 1410","Question 1411","Question 1412","Question 1413","Question 1414","Question 1415","Question 1416","Question 1417","Question 1418","Question 1419","Question 1420","Question 1421","Question 1422","Question 1423","Question 1424","Question 1425","Question 1426","Question 1427","Question 1428","Question 1429","Question 1430","Question 1431","Question 1432","Question 1433","Question 1434","Question 1435","Question 1436","Question 1437","Question 1438","Question 1439","Question 1440","Question 1441","Question 1442","Question 1443","Question 1444","Question 1445","Question 1446","Question 1447","Question 1448","Question 1449","Question 1450","Question 1451","Question 1452","Question 1453","Question 1454","Question 1455","Question 1456","Question 1457","Question 1458","Question 1459","Question 1460","Question 1461","Question 1462","Question 1463","Question 1464","Question 1465","Question 1466","Question 1467","Question 1468","Question 1469","Question 1470","Question 1471","Question 1472","Question 1473","Question 1474","Question 1475","Question 1476","Question 1477","Question 1478","Question 1479","Question 1480","Question 1481","Question 1482","Question 1483","Question 1484","Question 1485","Question 1486","Question 1487","Question 1488","Question 1489","Question 1490","Question 1491","Question 1492","Question 1493","Question 1494","Question 1495","Question 1496","Question 1497","Question 1498","Question 1499","Question 1500"
"2018/03/27 11:30:33 PM MDT","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","Toy Story 3","How the Grinch Stole Christmas","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","The Pokemon Movie","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","The Pokemon Movie","The Lego Movie","Coco","Coco","Coco","Kung Fu Panda","Jungle Book","Coco","Ice Age","Coco","Coco","Coco","Coco","Coco","Coco","Coco","Coco","Toy Story 3","Coco","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","Coco","Coco","Coco","Coco","Coco","Coco","Coco","Coco","Coco","Shrek 2","The Pokemon Movie","The Lego Movie","The Lego Movie","The Lego Movie","Kung Fu Panda","Jungle Book","The Lego Movie","The Lego Movie","The Lego Movie","The Lego Movie","The Lego Movie","The Lego Movie","The Lego Movie"
"2018/03/28 1:08:08 AM MDT","Polar Express","Hotel Transylvania","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","Monsters Inc.","The Iron Giant","Aladdin","How to Train Your Dragon 2","How the Grinch Stole Christmas","Bolt","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","Horton Hears A Who","Cars","How the Grinch Stole Christmas","Bee Movie","How the Grinch Stole Christmas","The Pokemon Movie","Up","Up","Up","Up","Up","Up","Jungle Book","Up","Up","Up","Up","Up","Up","Polar Express","Up","Up","Up","Up","Up","Up","Up","Aladdin","How to Train Your Dragon 2","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Coco","Coco","The Lady and the Tramp","Coco","Coco","Jungle Book","Coco","Coco","Coco","Coco","Coco","Coco","Polar Express","Coco","Coco","Coco","Coco","Coco","Coco","Coco","Aladdin","How to Train Your Dragon 2","Coco","Coco","Coco","Coco","Coco","Horton Hears A Who","Cars","Coco","Coco","Coco","Coco","Beauty and the Beast","The Lady and the Tramp","Tangled","The Lego Movie","Jungle Book","The Lego Movie","Ice Age","The Lego Movie","The Lego Movie","Cinderella","The Lego Movie","Polar Express"
"2018/03/29 1:47:36 AM MDT","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","Tom and Jerry","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","How the Grinch Stole Christmas","How to Train Your Dragon 2","Lego Batman","How the Grinch Stole Christmas","Peanuts Movie","Kung Fu Panda 3","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","How the Grinch Stole Christmas","Bee Movie","Shrek 2","How the Grinch Stole Christmas","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","Shrek 2","Up","The Lego Movie","Coco","Coco","Coco","Kung Fu Panda","Coco","Coco","Coco","Coco","Coco","Coco","Coco","Coco","Coco","Coco","Coco","Toy Story 3","Inside Out","Monsters Inc.","The Iron Giant","Coco","How to Train Your Dragon 2","Coco","Coco","Peanuts Movie","Kung Fu Panda 3","Coco","Coco","Coco","Coco","Coco","Shrek 2","Coco","The Lego Movie","The Lego Movie","The Lego Movie","The Lego Movie","The Lego Movie","The Lego Movie","The Lego Movie","The Lego Movie","The Lego Movie","The Lego Movie","The Lego Movie","The Lego Movie"
